DUMMY_TO_DELETE,MONTH,WEEKDAY, HR ,PH
15,2,2,5,6463
15,2,2,6,6760
15,2,2,7,6676
15,2,2,8,7407
15,2,2,9,8498
15,2,2,10,9117
15,2,2,11,9463
15,2,2,12,9252
15,2,2,13,9190
15,2,2,14,9497
15,2,2,15,9326
15,2,2,16,9207
15,2,2,17,8852
15,2,2,18,8926
15,2,2,19,9338
15,2,2,20,9081
15,2,2,21,8740
15,2,2,22,8158
15,2,2,23,7418
15,2,2,24,6930
15,2,3,1,6602
15,2,3,2,6370
15,2,3,3,6186
15,2,3,4,6134
15,2,3,5,6404
15,2,3,6,6781
15,2,3,7,6608
15,2,3,8,7420
15,2,3,9,8455
15,2,3,10,9039
15,2,3,11,9418
15,2,3,12,9222
15,2,3,13,9163
15,2,3,14,9530
15,2,3,15,9433
15,2,3,16,9298
15,2,3,17,8872
15,2,3,18,8876
15,2,3,19,9337
15,2,3,20,9126
15,2,3,21,8796
15,2,3,22,8249
15,2,3,23,7509
15,2,3,24,7090
15,2,4,1,6611
15,2,4,2,6449
15,2,4,3,6272
15,2,4,4,6218
15,2,4,5,6439
15,2,4,6,6765
15,2,4,7,6727
15,2,4,8,7503
15,2,4,9,8509
15,2,4,10,9103
15,2,4,11,9486
15,2,4,12,9266
15,2,4,13,9314
15,2,4,14,9653
15,2,4,15,9539
15,2,4,16,9367
15,2,4,17,8927
15,2,4,18,8890
15,2,4,19,9342
15,2,4,20,9133
15,2,4,21,8808
15,2,4,22,8357
15,2,4,23,7597
15,2,4,24,7088
15,2,5,1,6754
15,2,5,2,6538
15,2,5,3,6417
15,2,5,4,6387
15,2,5,5,6550
15,2,5,6,6819
15,2,5,7,6805
15,2,5,8,7577
15,2,5,9,8464
15,2,5,10,9007
15,2,5,11,9400
15,2,5,12,9280
15,2,5,13,9248
15,2,5,14,9516
15,2,5,15,9434
15,2,5,16,9303
15,2,5,17,8924
15,2,5,18,8850
15,2,5,19,9367
15,2,5,20,9028
15,2,5,21,8802
15,2,5,22,8255
15,2,5,23,7560
15,2,5,24,7037
15,2,6,1,6638
15,2,6,2,6453
15,2,6,3,6273
15,2,6,4,6199
15,2,6,5,6240
15,2,6,6,6338
15,2,6,7,6279
15,2,6,8,6870
15,2,6,9,7627
15,2,6,10,8169
15,2,6,11,8584
15,2,6,12,8386
15,2,6,13,8329
15,2,6,14,8571
15,2,6,15,8417
15,2,6,16,8158
15,2,6,17,7799
15,2,6,18,8091
15,2,6,19,8766
15,2,6,20,8575
15,2,6,21,8316
15,2,6,22,7923
15,2,6,23,7306
15,2,6,24,6819
15,2,7,1,6410
15,2,7,2,6304
15,2,7,3,6095
15,2,7,4,6011
15,2,7,5,5979
15,2,7,6,5958
15,2,7,7,5868
15,2,7,8,6108
15,2,7,9,6554
15,2,7,10,7159
15,2,7,11,7411
15,2,7,12,7359
15,2,7,13,7342
15,2,7,14,7367
15,2,7,15,7243
15,2,7,16,7147
15,2,7,17,7038
15,2,7,18,7525
15,2,7,19,8338
15,2,7,20,8214
15,2,7,21,7991
15,2,7,22,7406
15,2,7,23,6982
15,2,7,24,6341
15,2,1,1,6101
15,2,1,2,5885
15,2,1,3,5749
15,2,1,4,5729
15,2,1,5,5992
15,2,1,6,6441
15,2,1,7,6385
15,2,1,8,7264
15,2,1,9,8349
15,2,1,10,9064
15,2,1,11,9439
15,2,1,12,9274
15,2,1,13,9221
15,2,1,14,9541
15,2,1,15,9408
15,2,1,16,9248
15,2,1,17,8868
15,2,1,18,8865
15,2,1,19,9299
15,2,1,20,8993
15,2,1,21,8647
15,2,1,22,8053
15,2,1,23,7328
15,2,1,24,6854
15,2,2,1,6510
15,2,2,2,6347
15,2,2,3,6169
15,2,2,4,6173
15,2,2,5,6337
15,2,2,6,6657
15,2,2,7,6729
15,2,2,8,7381
15,2,2,9,8393
15,2,2,10,8962
15,2,2,11,9300
15,2,2,12,9103
15,2,2,13,9054
15,2,2,14,9375
15,2,2,15,9244
15,2,2,16,9168
15,2,2,17,8869
15,2,2,18,8923
15,2,2,19,9310
15,2,2,20,8966
15,2,2,21,8597
15,2,2,22,8003
15,2,2,23,7338
15,2,2,24,6855
15,2,3,1,6530
15,2,3,2,6311
15,2,3,3,6174
15,2,3,4,6160
15,2,3,5,6353
15,2,3,6,6776
15,2,3,7,6781
15,2,3,8,7443
15,2,3,9,8489
15,2,3,10,9009
15,2,3,11,8727
15,2,3,12,8861
15,2,3,13,8844
15,2,3,14,9182
15,2,3,15,8970
15,2,3,16,8949
15,2,3,17,8558
15,2,3,18,8628
15,2,3,19,9130
15,2,3,20,8876
15,2,3,21,8517
15,2,3,22,7911
15,2,3,23,7186
15,2,3,24,6749
15,2,4,1,6423
15,2,4,2,6184
15,2,4,3,6093
15,2,4,4,6087
15,2,4,5,6371
15,2,4,6,6775
15,2,4,7,6743
15,2,4,8,7399
15,2,4,9,8340
15,2,4,10,8981
15,2,4,11,9327
15,2,4,12,9150
15,2,4,13,9108
15,2,4,14,9398
15,2,4,15,9299
15,2,4,16,9055
15,2,4,17,8903
15,2,4,18,9087
15,2,4,19,9371
15,2,4,20,9070
15,2,4,21,8736
15,2,4,22,8100
15,2,4,23,7422
15,2,4,24,6878
15,2,5,1,6525
15,2,5,2,6329
15,2,5,3,6225
15,2,5,4,6153
15,2,5,5,6365
15,2,5,6,6714
15,2,5,7,6795
15,2,5,8,7447
15,2,5,9,8269
